ticker;date;open;high;low;close;volume;adj_close
BCY.SI;2017-02-13;1.125;1.13;1.125;1.13;14800;1.13
BCY.SI;2017-02-10;1.125;1.125;1.125;1.125;0;1.125
BCY.SI;2017-02-09;1.125;1.125;1.125;1.125;0;1.125
BCY.SI;2017-02-08;1.125;1.125;1.125;1.125;3100;1.125
BCY.SI;2017-02-07;1.12;1.12;1.12;1.12;0;1.12
BCY.SI;2017-02-06;1.12;1.12;1.12;1.12;5000;1.12
BCY.SI;2017-02-03;1.12;1.12;1.12;1.12;0;1.12
BCY.SI;2017-02-02;1.13;1.13;1.12;1.12;9600;1.12
BCY.SI;2017-02-01;1.13;1.13;1.115;1.115;12300;1.115
BCY.SI;2017-01-31;1.1;1.115;1.1;1.115;4500;1.115
BCY.SI;2017-01-30;1.12;1.12;1.12;1.12;0;1.12
